# {"t_start": 1659482831.773812, "env_id": "Bpp-v0"} 
r,l,t
6.87,42,2313.240024
8.18,50,2315.930283
5.37,35,2317.091981
6.3,41,2319.53523
7.01,48,2322.1854
7.57,48,2324.926223
5.02,32,2327.047166
6.73,43,2328.510651
6.64,45,2331.196703
6.87,45,2333.842186
6.89,42,2336.34987
7.04,48,2339.207382
7.51,51,2342.156712
7.34,51,2345.27009
7.83,56,2348.538096
7.35,48,2351.549838
6.87,45,2354.442757
6.49,43,2357.441512
6.11,41,2360.136204
7.42,45,2363.059632
6.33,39,2364.450941
6.65,45,2367.382187
7.59,49,2370.505123
7.45,49,2373.434713
7.38,51,2376.626602
7.88,50,2379.743944
6.71,47,2382.81017
7.2,49,2386.275267
6.29,45,2389.401028
7.85,53,2392.797805
6.77,46,2396.204834
6.9,46,2403.432753
7.61,47,2406.696667
7.36,51,2411.85506
7.09,49,2419.3573
4.6,27,2423.683733
6.81,47,2427.154598
7.2,51,2433.184365
6.6,48,2438.68014
7.01,49,2444.614986
2.62,17,2447.910652
7.38,46,2453.120286
7.41,50,2458.823961
7.29,52,2464.717734
7.54,48,2469.821992
8.01,49,2475.281701
4.19,29,2477.217662
